d,  S.cus,   S.cus_undiff,     S.ten,  S.mag,    S.pap,    S.imb,   S.cap,    PoolHollow,  Lawn,  Hummock
31,   0,       10,               0 ,      0 ,      0,       0,       65,       0 ,          0 ,     65
32,   0,       10,               0 ,      0 ,      0,       0,       68,       0 ,          0 ,     68
33,   0,       10,               0 ,      0 ,      0,       0,       75,       0 ,          0 ,     75
34,   0,       10,               0 ,      0 ,      0,       0,       77,       0 ,          0 ,     77
35,   0,       10,               0 ,      2 ,      0,       0,       72,       0 ,          2 ,     72
36,   0,       10,               0 ,      1 ,      0,       0,       70,       0 ,          1 ,     70
37,   0,       10,               0 ,      0 ,      0,       0,       74,       0 ,          0 ,     74
38,   0,       10,               0 ,      0 ,      0,       0,       65,       0 ,          0 ,     65
39,   0,       10,               0 ,      0 ,      0,       0,       72,       0 ,          0 ,     72
40,   0,       10,               0 ,      2 ,      0,       0,       58,       0 ,          2 ,     58
41,   0,       10,               0 ,      6 ,      0,       0,       46,       0 ,          6 ,     46
42,   0,       10,               0 ,      0 ,      0,       0,       50,       0 ,          0 ,     50
43,   0,       10,               0 ,      0 ,      0,       0,       65,       0 ,          0 ,     65
44,   0,       10,               0 ,      0 ,      0,       0,       67,       0 ,          0 ,     67
45,   0,       10,               0 ,      0 ,      0,       0,       66,       0 ,          0 ,     66
46,   0,       10,               0 ,      0 ,      0,       0,       64,       0 ,          0 ,     64
47,   0,       10,               0 ,      0 ,      0,       0,       65,       0 ,          0 ,     65
48,   0,       10,               0 ,      3 ,      0,       0,       61,       0 ,          3 ,     61
49,   0,       10,               0 ,      0 ,      0,       0,       61,       0 ,          0 ,     61
50,   0,       10,               0 ,      0 ,      0,       0,       60,       0 ,          0 ,     60
51,   0,       10,               0 ,      0 ,      0,       0,       68,       0 ,          0 ,     68
52,   0,       10,               0 ,      0 ,      0,       0,       58,       0 ,          0 ,     58
53,   0,       10,               0 ,      0 ,      0,       0,       67,       0 ,          0 ,     67
54,   0,       10,               0 ,      0 ,      0,       0,       62,       0 ,          0 ,     62
55,   0,       10,               0 ,      0 ,      0,       0,       54,       0 ,          0 ,     54
56,   0,       10,               1 ,      0 ,      0,       0,       55,       1 ,          0 ,     55
57,   0,       10,               0 ,      0 ,      0,       0,       72,       0 ,          0 ,     72
58,   0,       10,               0 ,      0 ,      0,       0,       70,       0 ,          0 ,     70
59,   5,       10,               47,      0 ,      0,       0,       10,       52,          0 ,     10
60,   3,       10,               63,      0 ,      0,       0,       5 ,       66,          0 ,     5
61,   2,       10,               59,      0 ,      0,       0,       3 ,       61,          0 ,     3
62,   5,       10,               58,      0 ,      0,       0,       1 ,       63,          0 ,     1
63,   4,       10,               60,      0 ,      0,       0,       0 ,       64,          0 ,     0
64,   3,       10,               51,      0 ,      0,       0,       12,       54,          0 ,     12
65,   0,       10,               6 ,      0 ,      0,       0,       57,       6 ,          0 ,     57
66,   0,       10,               5 ,      0 ,      0,       0,       72,       5 ,          0 ,     72
67,   0,       10,               4 ,      0 ,      0,       0,       74,       4 ,          0 ,     74
68,   0,       10,               0 ,      0 ,      0,       0,       76,       0 ,          0 ,     76
69,   0,       10,               0 ,      0 ,      0,       0,       78,       0 ,          0 ,     78
70,   0,       10,               5 ,      0 ,      0,       0,       70,       5 ,          0 ,     70
71,   2,       10,               10,      0 ,      0,       0,       61,       12,          0 ,     61
72,   6,       10,               25,      0 ,      0,       0,       14,       31,          0 ,     14
73,   5,       10,               18,      0 ,      0,       0,       17,       23,          0 ,     17
74,   0,       10,               10,      0 ,      0,       0,       5 ,       10,          0 ,     5
75,   0,       10,               5 ,      0 ,      0,       0,       10,       5 ,          0 ,     10
76,   0,       10,               0 ,      0 ,      0,       0,       15,       0 ,          0 ,     15
77,   0,       10,               0 ,      0 ,      0,       0,       8 ,       0 ,          0 ,     8
78,   0,       10,               0 ,      0 ,      0,       0,       70,       0 ,          0 ,     70
