depth	min95%	max95%	best	accrate
358	1928	2170	2039	10.3
359	1938	2180	2049	10.27
360	1948	2189	2059	10.23
361	1958	2198	2070	10.19
362	1968	2207	2080	10.15
363	1977	2216	2090	10.11
364	1987	2225	2100	10.07
365	1997	2235	2110	10.03
366	2007	2244	2120	9.99
367	2017	2253	2130	9.95
368	2027	2262	2140	9.9
369	2037	2271	2150	9.86
370	2047	2281	2160	9.82
371	2057	2290	2170	9.78
372	2067	2301	2180	9.74
373	2077	2310	2189	9.7
374	2086	2319	2199	9.67
375	2096	2327	2209	9.63
376	2106	2336	2218	9.59
377	2116	2344	2228	9.56
378	2126	2352	2237	9.52
379	2136	2360	2247	9.48
380	2146	2369	2256	9.45
381	2156	2378	2266	9.41
382	2166	2387	2275	9.38
383	2176	2395	2285	9.35
384	2186	2404	2294	9.31
385	2196	2412	2303	9.28
386	2206	2421	2313	9.25
387	2216	2429	2322	9.22
388	2225	2437	2331	9.19
389	2235	2446	2340	9.16
390	2244	2455	2349	9.13
391	2254	2463	2359	9.1
392	2264	2471	2368	9.07
393	2274	2479	2377	9.04
394	2284	2487	2386	9.02
395	2293	2496	2395	8.99
396	2303	2504	2404	8.96
397	2313	2513	2413	8.94
398	2323	2521	2422	8.91
399	2333	2529	2431	8.89
400	2342	2538	2439	8.86
401	2352	2546	2448	8.84
402	2362	2554	2457	8.82
403	2372	2562	2466	8.79
404	2382	2572	2475	8.77
405	2392	2581	2484	8.75
406	2402	2589	2492	8.73
407	2412	2596	2501	8.71
408	2422	2604	2510	8.69
409	2431	2613	2518	8.67
410	2441	2621	2527	8.65
411	2451	2631	2536	8.63
412	2460	2641	2544	8.61
413	2470	2648	2553	8.6
414	2479	2656	2562	8.58
415	2489	2665	2570	8.56
416	2498	2675	2579	8.55
417	2507	2685	2587	8.53
418	2516	2695	2596	8.52
419	2525	2704	2604	8.51
420	2534	2712	2613	8.49
421	2544	2721	2621	8.48
422	2553	2729	2630	8.47
423	2563	2737	2638	8.46
424	2572	2745	2647	8.44
425	2582	2754	2655	8.43
426	2591	2764	2664	8.42
427	2600	2773	2672	8.41
428	2610	2784	2680	8.4
429	2619	2794	2689	8.4
430	2628	2802	2697	8.39
431	2638	2812	2706	8.38
432	2647	2822	2714	8.37
433	2656	2833	2722	8.37
434	2664	2843	2731	8.36
435	2674	2853	2739	8.36
436	2683	2864	2747	8.35
437	2692	2874	2756	8.35
438	2701	2884	2764	8.34
439	2710	2894	2773	8.34
440	2719	2905	2781	8.34
441	2728	2915	2789	8.34
442	2737	2925	2798	8.33
443	2747	2936	2806	8.33
444	2755	2946	2814	8.33
445	2764	2956	2823	8.33
446	2773	2966	2831	8.33
447	2781	2977	2839	8.33
448	2789	2987	2848	8.33
449	2797	2997	2856	8.33
450	2805	3007	2864	8.33
451	2812	3018	2873	8.33
452	2820	3028	2881	8.33
453	2826	3038	2889	8.33
454	2832	3049	2898	8.33
455	2838	3059	2906	8.33
456	2844	3069	2914	8.33
457	2851	3079	2923	8.33
458	2857	3090	2931	8.33
459	2863	3100	2939	8.33
460	2870	3110	2948	8.33
461	2876	3121	2956	8.33
462	2883	3131	2964	8.33
463	2889	3141	2973	8.33
464	2895	3151	2981	8.33
465	2900	3162	2989	8.33
466	2906	3172	2998	8.33
467	2912	3182	3006	8.33
468	2918	3193	3014	8.33
469	2924	3203	3023	8.33
470	2930	3213	3031	5231.4
471	8047	8526	8262	35.96
472	8088	8558	8298	35.96
473	8127	8590	8334	35.96
474	8167	8621	8370	35.96
475	8206	8654	8406	35.96
476	8247	8685	8442	35.96
477	8288	8718	8478	35.96
478	8328	8749	8514	35.96
479	8368	8782	8550	35.96
480	8408	8813	8586	35.96
481	8449	8844	8622	35.96
482	8488	8876	8658	35.96
483	8526	8907	8694	35.96
484	8565	8939	8730	35.96
485	8603	8972	8766	35.96
486	8642	9006	8802	35.96
487	8679	9039	8838	35.96
488	8716	9071	8874	35.96
489	8754	9104	8910	35.95
490	8793	9137	8946	35.95
491	8831	9172	8982	35.94
492	8869	9205	9017	35.93
493	8907	9239	9053	35.92
494	8944	9271	9089	35.91
495	8982	9304	9125	35.9
496	9019	9337	9161	35.89
497	9056	9370	9197	35.88
498	9094	9404	9233	35.86
499	9131	9437	9269	35.85
500	9169	9470	9305	35.83
501	9207	9503	9340	35.81
502	9244	9537	9376	35.79
503	9282	9571	9412	35.77
504	9319	9606	9448	35.75
505	9356	9642	9484	35.72
506	9392	9674	9519	35.7
507	9429	9709	9555	35.68
508	9465	9744	9591	35.65
509	9500	9779	9626	35.62
510	9538	9818	9662	35.59
511	9573	9856	9698	35.56
512	9609	9889	9733	35.53
513	9646	9927	9769	35.5
514	9683	9963	9804	35.47
515	9719	9998	9840	35.43
516	9755	10034	9875	35.4
517	9790	10069	9910	35.36
518	9826	10107	9946	35.32
519	9861	10150	9981	35.28
520	9898	10190	10016	35.24
521	9934	10226	10052	35.2
522	9970	10259	10087	35.16
523	10005	10294	10122	35.11
524	10039	10333	10157	35.07
525	10073	10369	10192	35.02
526	10108	10402	10227	34.97
527	10141	10438	10262	34.93
528	10175	10470	10297	34.88
529	10209	10509	10332	34.83
530	10242	10544	10367	34.77
531	10277	10576	10402	34.72
532	10313	10613	10436	34.67
533	10348	10648	10471	34.61
534	10384	10684	10506	34.56
535	10419	10719	10540	34.5
536	10456	10754	10575	34.44
537	10491	10788	10609	34.38
538	10527	10822	10643	34.33
539	10561	10853	10678	34.28
540	10595	10884	10712	34.24
541	10628	10915	10746	34.21
542	10662	10953	10780	34.19
543	10698	10989	10815	34.17
544	10731	11022	10849	34.16
545	10766	11060	10883	34.16
546	10801	11096	10917	34.17
547	10835	11127	10951	34.18
548	10870	11163	10986	34.2
549	10904	11201	11020	34.23
550	10939	11238	11054	34.26
551	10972	11276	11088	34.3
552	11008	11314	11122	34.35
553	11043	11353	11157	34.41
554	11079	11392	11191	34.47
555	11112	11431	11226	34.54
556	11148	11470	11260	34.62
