depth	min95%	max95%	best	accrate
425	2548	2836	2627	10.98
426	2559	2851	2637	11.01
427	2570	2866	2648	11.03
428	2581	2880	2660	11.06
429	2592	2894	2671	11.09
430	2604	2908	2682	11.12
431	2615	2922	2693	11.15
432	2627	2937	2704	11.18
433	2639	2951	2715	11.2
434	2650	2966	2726	11.23
435	2662	2981	2738	11.26
436	2673	2996	2749	11.29
437	2685	3010	2760	11.32
438	2696	3025	2771	11.35
439	2707	3041	2783	11.38
440	2719	3056	2794	11.4
441	2730	3071	2806	11.43
442	2741	3087	2817	11.46
443	2752	3102	2828	11.49
444	2763	3118	2840	11.52
445	2773	3133	2851	11.55
446	2783	3149	2863	11.58
447	2792	3164	2875	11.61
448	2802	3178	2886	11.64
449	2813	3191	2898	11.67
450	2822	3206	2910	11.69
451	2833	3222	2921	11.72
452	2841	3239	2933	11.75
453	2851	3256	2945	11.78
454	2860	3273	2956	11.81
455	2869	3290	2968	11.84
456	2877	3307	2980	11.87
457	2886	3324	2992	11.9
458	2894	3341	3004	11.93
459	2903	3358	3016	11.96
460	2911	3375	3028	11.99
461	2919	3392	3040	12.02
462	2927	3409	3052	12.05
463	2935	3426	3064	12.08
464	2944	3443	3076	12.11
465	2952	3460	3088	12.14
466	2960	3477	3100	12.17
467	2968	3493	3112	12.2
468	2976	3511	3125	12.23
469	2984	3528	3137	12.26
470	2992	3544	3149	4857.77
471	7338	8527	8007	57.33
472	7438	8554	8064	56.68
473	7537	8587	8121	56.03
474	7639	8616	8177	55.39
475	7740	8648	8232	54.75
476	7842	8681	8287	54.12
477	7941	8711	8341	53.5
478	8030	8739	8395	52.89
479	8112	8768	8447	52.28
480	8186	8799	8500	51.68
481	8275	8829	8551	51.09
482	8355	8864	8603	50.51
483	8424	8900	8653	49.93
484	8488	8937	8703	49.36
485	8549	8977	8752	48.79
486	8607	9020	8801	48.23
487	8661	9064	8849	47.68
488	8710	9116	8897	47.14
489	8753	9174	8944	46.61
490	8795	9231	8991	46.08
491	8834	9284	9037	45.55
492	8872	9340	9082	45.04
493	8915	9391	9127	44.53
494	8951	9441	9172	44.03
495	8989	9504	9216	43.54
496	9025	9565	9260	43.05
497	9059	9625	9303	42.57
498	9097	9682	9345	42.09
499	9130	9741	9387	41.63
500	9167	9797	9429	41.17
501	9204	9854	9470	40.72
502	9241	9909	9511	40.27
503	9278	9962	9551	39.84
504	9314	10010	9591	39.4
505	9348	10055	9630	38.98
506	9383	10101	9669	38.56
507	9418	10145	9708	38.15
508	9453	10186	9746	37.75
509	9491	10226	9784	37.35
510	9530	10269	9821	36.97
511	9566	10312	9858	36.58
512	9603	10353	9895	36.21
513	9640	10392	9931	35.84
514	9678	10428	9967	35.48
515	9717	10464	10002	35.13
516	9754	10501	10037	34.78
517	9790	10535	10072	34.44
518	9829	10566	10106	34.11
519	9867	10596	10141	33.78
520	9903	10625	10174	33.46
521	9940	10655	10208	33.15
522	9977	10683	10241	32.85
523	10013	10713	10274	32.55
524	10050	10737	10306	32.26
525	10086	10764	10339	31.98
526	10125	10790	10371	31.7
527	10165	10814	10402	31.43
528	10201	10840	10434	31.17
529	10238	10866	10465	30.91
530	10277	10890	10496	30.66
531	10313	10915	10527	30.42
532	10346	10939	10557	30.19
533	10381	10965	10587	29.96
534	10417	10986	10617	29.74
535	10453	11005	10647	29.53
536	10488	11025	10676	29.32
537	10524	11046	10706	29.12
538	10559	11062	10735	28.93
539	10595	11079	10764	28.75
540	10630	11094	10792	28.57
541	10666	11111	10821	28.4
542	10701	11126	10849	28.23
543	10731	11142	10878	28.07
544	10764	11159	10906	27.92
545	10794	11177	10934	27.78
546	10824	11192	10961	27.65
547	10853	11211	10989	27.52
548	10884	11233	11017	27.39
549	10914	11260	11044	27.28
550	10945	11286	11071	27.17
551	10974	11322	11098	27.07
552	11004	11347	11126	26.98
553	11032	11381	11153	26.89
554	11058	11416	11179	26.81
555	11086	11451	11206	26.74
556	11115	11481	11233	26.67
557	11140	11513	11260	26.61
558	11165	11552	11286	26.56
559	11185	11593	11313	26.52
560	11209	11634	11339	26.48
561	11224	11675	11366	26.45
562	11234	11717	11392	26.42
563	11243	11759	11419	26.41
564	11250	11802	11445	26.4
565	11255	11844	11471	26.39
566	11263	11885	11498	26.4
567	11272	11926	11524	26.41
568	11277	11968	11551	26.43
569	11281	12010	11577	26.45
570	11285	12053	11604	26.49
571	11289	12097	11630	26.53
572	11294	12141	11657	26.57
573	11300	12184	11683	26.63
574	11307	12227	11710	26.69
575	11313	12270	11736	26.75
576	11318	12312	11763	26.83
577	11324	12357	11790	26.91
578	11330	12402	11817	27
579	11337	12448	11844	27.09
580	11344	12493	11871	27.2
581	11352	12537	11898	27.31
582	11359	12582	11926	27.42
583	11367	12627	11953	27.55
584	11374	12671	11981	27.68
585	11382	12714	12008	27.82
586	11390	12754	12036	27.96
587	11398	12794	12064	28.11
588	11407	12837	12092	28.27
589	11418	12880	12120	28.44
590	11432	12921	12149	28.61
591	11441	12962	12177	28.79
592	11451	13002	12206	28.98
593	11461	13045	12235	29.17
594	11472	13090	12264	29.37
595	11485	13134	12294	29.58
596	11496	13179	12323	29.79
597	11509	13223	12353	30.02
598	11523	13267	12383	30.25
599	11538	13310	12413	30.48
600	11553	13352	12444	30.73
601	11569	13394	12475	30.98
